Date,Adj Close
2017-11-01,291.694000
2017-11-02,287.428986
2017-11-03,305.710999
2017-11-04,300.468994
2017-11-05,296.263000
2017-11-06,298.891998
2017-11-07,294.658997
2017-11-08,309.070007
2017-11-09,320.884003
2017-11-10,299.252991
2017-11-11,314.681000
2017-11-12,307.907990
2017-11-13,316.716003
2017-11-14,337.631012
2017-11-15,333.356995
2017-11-16,330.924011
2017-11-17,332.394012
2017-11-18,347.612000
2017-11-19,354.385986
2017-11-20,366.730011
2017-11-21,360.401001
2017-11-22,380.652008
2017-11-23,410.165985
2017-11-24,474.911011
2017-11-25,466.276001
2017-11-26,471.329987
2017-11-27,480.355011
2017-11-28,472.902008
2017-11-29,427.523010
2017-11-30,447.114014
2017-12-01,466.540009
2017-12-02,463.449005
2017-12-03,465.852997
2017-12-04,470.204010
2017-12-05,463.281006
2017-12-06,428.588013
2017-12-07,434.407990
2017-12-08,456.031006
2017-12-09,473.502014
2017-12-10,441.721008
2017-12-11,515.135986
2017-12-12,651.431030
2017-12-13,702.767029
2017-12-14,695.815979
2017-12-15,684.447998
2017-12-16,696.208984
2017-12-17,719.974976
2017-12-18,794.645020
2017-12-19,826.822998
2017-12-20,819.085999
2017-12-21,821.062988
2017-12-22,674.859985
2017-12-23,719.387024
2017-12-24,694.148010
2017-12-25,765.833984
2017-12-26,773.835999
2017-12-27,762.841980
2017-12-28,737.023010
2017-12-29,753.591980
2017-12-30,717.257019
2017-12-31,756.732971
2018-01-01,772.640991
2018-01-02,884.443970
2018-01-03,962.719971
2018-01-04,980.921997
2018-01-05,997.719971
2018-01-06,1041.680054
2018-01-07,1153.170044
2018-01-08,1148.530029
2018-01-09,1299.739990
2018-01-10,1255.819946
2018-01-11,1154.930054
2018-01-12,1273.199951
2018-01-13,1396.420044
2018-01-14,1366.770020
2018-01-15,1291.920044
2018-01-16,1053.689941
2018-01-17,1014.250000
2018-01-18,1036.280029
2018-01-19,1039.099976
2018-01-20,1155.150024
